,Milk,Grocery,label
0,9656,7561,8
1,9810,9568,8
2,8808,7684,8
3,1196,4221,8
4,5410,7198,8
5,8259,5126,8
6,3199,6975,8
7,4956,9426,8
8,3648,6192,8
9,11093,18881,8
10,5403,12974,8
11,1124,4523,8
12,12319,11757,8
13,6208,14982,8
14,9465,12091,8
15,1114,3821,8
16,8816,12121,8
17,6157,2933,8
18,6327,10099,8
19,2495,9464,8
20,4519,4602,8
21,871,2010,8
22,1917,4469,8
23,36423,22019,4
24,9776,13792,8
25,4230,7595,8
26,961,2861,8
27,803,3045,8
28,20484,25957,5
29,2100,2609,8
30,3610,11107,8
31,4339,3133,8
32,1318,2886,8
33,4786,7326,8
34,1979,2262,8
35,5491,11091,8
36,4362,5428,8
37,10556,12477,8
38,15729,16709,6
39,555,902,8
40,4332,4757,8
41,3065,5956,8
42,7555,14961,8
43,11095,23998,5
44,7027,10471,8
45,22044,21531,6
46,14069,21955,6
47,54259,55571,0
48,6152,10868,8
49,21412,28921,5
50,1095,1980,8
51,4051,6996,8
52,3916,5876,8
53,10473,11532,8
54,1449,1947,8
55,3683,5005,8
56,29892,26866,5
57,9933,10487,8
58,1970,1648,8
59,5360,8040,8
60,3045,7854,8
61,38369,59598,1
62,6245,6544,8
63,11601,15775,8
64,1227,3250,8
65,20959,45828,5
66,1534,7417,8
67,6759,13462,8
68,7260,3993,8
69,2820,1293,8
70,2037,3202,8
71,1266,21042,8
72,5139,2661,8
73,5332,8713,8
74,6343,9794,8
75,1137,3,8
76,3587,6532,8
77,12697,28540,5
78,1175,2067,8
79,3259,3655,8
80,829,3009,8
81,9540,14403,8
82,9232,11009,8
83,1563,1783,8
84,3327,4814,8
85,46197,92780,2
86,73498,32114,3
87,5025,8117,8
88,542,4042,8
89,3836,5330,8
90,596,1638,8
91,2762,2530,8
92,27472,32034,5
93,3090,2062,8
94,12220,11323,8
95,2920,6252,8
96,2616,8118,8
97,254,610,8
98,112,778,8
99,2182,1909,8
100,7779,12144,8
101,10810,16267,8
102,6459,7677,8
103,3504,8906,8
104,2132,3445,8
105,1014,3970,8
106,6337,10704,8
107,10646,14886,8
108,8397,6981,8
109,16729,28986,5
110,1648,1694,8
111,11114,17569,8
112,2770,2469,8
113,2295,1733,8
114,1080,2000,8
115,793,2988,8
116,2521,3355,8
117,3880,5380,8
118,1891,2362,8
119,2344,2147,8
120,1200,3412,8
121,3234,1498,8
122,201,245,8
123,10769,8814,8
124,1642,2961,8
125,3473,7102,8
126,1840,1658,8
127,7243,10685,8
128,8847,3823,8
129,926,1510,8
130,2428,699,8
131,589,314,8
132,2032,2479,8
133,1042,1235,8
134,1882,2174,8
135,1289,2591,8
136,8579,7030,8
137,8080,8282,8
138,4257,5034,8
139,4979,3343,8
140,4280,7305,8
141,13252,5189,8
142,7152,8253,8
143,1596,1096,8
144,3677,1988,8
145,8384,34792,5
146,1936,2177,8
147,3373,2707,8
148,584,542,8
149,1433,1651,8
150,1825,1765,8
151,3328,2022,8
152,1371,3135,8
153,9250,2368,8
154,55,137,8
155,10690,19460,8
156,5291,14855,8
157,1366,2474,8
158,6570,9618,8
159,7704,14682,8
160,3651,12822,8
161,540,283,8
162,2024,3810,8
163,15726,26870,5
164,7603,8584,8
165,12653,19858,6
