,Milk,Grocery,label
0,9656,7561,-1
1,9810,9568,-1
2,8808,7684,-1
3,1196,4221,-1
4,5410,7198,-1
5,8259,5126,-1
6,3199,6975,-1
7,4956,9426,-1
8,3648,6192,-1
9,11093,18881,-1
10,5403,12974,-1
11,1124,4523,-1
12,12319,11757,-1
13,6208,14982,-1
14,9465,12091,-1
15,1114,3821,-1
16,8816,12121,-1
17,6157,2933,-1
18,6327,10099,-1
19,2495,9464,-1
20,4519,4602,0
21,871,2010,3
22,1917,4469,-1
23,36423,22019,-1
24,9776,13792,-1
25,4230,7595,-1
26,961,2861,5
27,803,3045,5
28,20484,25957,-1
29,2100,2609,-1
30,3610,11107,-1
31,4339,3133,-1
32,1318,2886,-1
33,4786,7326,-1
34,1979,2262,-1
35,5491,11091,-1
36,4362,5428,-1
37,10556,12477,-1
38,15729,16709,-1
39,555,902,-1
40,4332,4757,0
41,3065,5956,-1
42,7555,14961,-1
43,11095,23998,-1
44,7027,10471,-1
45,22044,21531,-1
46,14069,21955,-1
47,54259,55571,-1
48,6152,10868,-1
49,21412,28921,-1
50,1095,1980,3
51,4051,6996,-1
52,3916,5876,-1
53,10473,11532,-1
54,1449,1947,-1
55,3683,5005,0
56,29892,26866,-1
57,9933,10487,-1
58,1970,1648,2
59,5360,8040,-1
60,3045,7854,-1
61,38369,59598,-1
62,6245,6544,-1
63,11601,15775,-1
64,1227,3250,5
65,20959,45828,-1
66,1534,7417,-1
67,6759,13462,-1
68,7260,3993,-1
69,2820,1293,-1
70,2037,3202,-1
71,1266,21042,-1
72,5139,2661,-1
73,5332,8713,-1
74,6343,9794,-1
75,1137,3,-1
76,3587,6532,-1
77,12697,28540,-1
78,1175,2067,3
79,3259,3655,-1
80,829,3009,5
81,9540,14403,-1
82,9232,11009,-1
83,1563,1783,-1
84,3327,4814,-1
85,46197,92780,-1
86,73498,32114,-1
87,5025,8117,-1
88,542,4042,-1
89,3836,5330,0
90,596,1638,-1
91,2762,2530,-1
92,27472,32034,-1
93,3090,2062,-1
94,12220,11323,-1
95,2920,6252,-1
96,2616,8118,-1
97,254,610,-1
98,112,778,-1
99,2182,1909,-1
100,7779,12144,-1
101,10810,16267,-1
102,6459,7677,-1
103,3504,8906,-1
104,2132,3445,-1
105,1014,3970,-1
106,6337,10704,-1
107,10646,14886,-1
108,8397,6981,-1
109,16729,28986,-1
110,1648,1694,2
111,11114,17569,-1
112,2770,2469,-1
113,2295,1733,-1
114,1080,2000,3
115,793,2988,5
116,2521,3355,-1
117,3880,5380,0
118,1891,2362,-1
119,2344,2147,-1
120,1200,3412,-1
121,3234,1498,-1
122,201,245,-1
123,10769,8814,-1
124,1642,2961,-1
125,3473,7102,-1
126,1840,1658,2
127,7243,10685,-1
128,8847,3823,-1
129,926,1510,4
130,2428,699,-1
131,589,314,-1
132,2032,2479,-1
133,1042,1235,4
134,1882,2174,-1
135,1289,2591,-1
136,8579,7030,-1
137,8080,8282,-1
138,4257,5034,0
139,4979,3343,-1
140,4280,7305,-1
141,13252,5189,-1
142,7152,8253,-1
143,1596,1096,-1
144,3677,1988,1
145,8384,34792,-1
146,1936,2177,-1
147,3373,2707,-1
148,584,542,-1
149,1433,1651,-1
150,1825,1765,2
151,3328,2022,-1
152,1371,3135,-1
153,9250,2368,-1
154,55,137,-1
155,10690,19460,-1
156,5291,14855,-1
157,1366,2474,-1
158,6570,9618,-1
159,7704,14682,-1
160,3651,12822,-1
161,540,283,-1
162,2024,3810,-1
163,15726,26870,-1
164,7603,8584,-1
165,12653,19858,-1
166,6721,9170,-1
167,3195,3268,-1
168,735,803,-1
169,717,2155,3
170,8675,13430,-1
171,25862,19816,-1
172,5479,6536,-1
173,7677,19805,-1
174,1208,5241,-1
175,7845,11874,-1
176,6958,6536,-1
177,7330,4533,-1
178,7075,4945,-1
179,4888,2500,-1
180,6036,8887,-1
181,29627,18148,-1
182,8533,10518,-1
183,43950,20170,-1
184,918,4710,-1
185,6448,1139,-1
186,521,854,-1
187,8002,9819,-1
188,7639,11687,-1
189,11577,11522,-1
190,6250,1981,-1
191,295,1381,-1
192,1461,2251,-1
193,3485,20292,-1
194,1012,2974,5
195,5139,5230,-1
196,7209,4897,-1
197,7097,10391,-1
198,2154,6824,-1
199,2280,2112,-1
200,13240,23127,-1
201,14399,24708,-1
202,11487,9490,-1
203,685,2216,3
204,891,5226,-1
205,11711,23596,-1
206,780,950,-1
207,4737,6089,-1
208,3748,5838,-1
209,12729,16767,-1
210,1895,1393,2
211,28326,39694,-1
212,1012,2062,3
213,6602,6861,-1
214,6551,11364,-1
215,10765,15538,-1
216,16599,36486,-1
217,1475,2046,-1
218,7504,15205,-1
219,367,1390,-1
220,899,1382,4
221,7503,10646,-1
222,1115,2856,-1
223,2527,5265,-1
224,659,1499,-1
225,3243,4157,-1
226,5921,9212,-1
227,2204,1563,-1
228,577,572,-1
229,2746,2501,-1
230,5989,5615,-1
231,10678,3828,-1
232,1780,3838,-1
233,4984,3316,-1
234,2703,3833,-1
235,6380,2824,-1
236,820,3047,5
237,3838,593,-1
238,475,585,-1
239,2567,3779,-1
240,3575,7041,-1
241,1801,2475,-1
242,659,2914,5
243,3576,5119,0
244,7775,10817,-1
245,6154,13916,-1
246,2428,1777,-1
247,346,489,-1
248,5279,2406,-1
249,3795,2070,1
250,1993,1799,2
251,23133,33586,-1
252,1860,4740,-1
253,7961,16966,-1
254,17972,4748,-1
255,489,1495,-1
256,5008,5249,-1
257,1931,1883,2
258,4563,2124,-1
259,4959,7336,-1
260,4885,2157,-1
261,1110,1094,4
262,1372,1677,-1
263,1115,6684,-1
264,9679,15445,-1
265,23527,13699,-1
266,9763,22182,-1
267,1222,2576,-1
268,8053,19847,-1
269,258,1138,-1
270,1032,975,4
271,5007,1563,-1
272,8323,6869,-1
273,3045,1493,1
274,1703,1841,2
275,1610,223,-1
276,3749,6964,-1
277,829,683,-1
278,2317,2543,-1
279,6200,9694,-1
280,2884,2431,-1
281,7108,6235,-1
282,3965,4252,0
283,3613,2013,1
284,4411,12609,-1
285,640,3600,-1
286,2247,1242,-1
287,2102,2828,-1
288,594,1296,-1
289,286,471,-1
290,2160,2642,-1
291,3354,3261,-1
292,3086,4329,-1
293,11103,12469,-1
294,2013,6550,-1
295,1897,5234,-1
296,1304,3643,-1
297,3199,6986,-1
298,4560,9965,-1
299,879,2060,3
300,6243,6360,-1
301,13316,20399,-1
302,5302,9785,-1
303,3688,13829,-1
304,7460,24773,-1
305,12939,8852,-1
306,12867,21570,-1
307,2374,2842,-1
308,1020,3007,5
309,20655,13567,-1
310,1492,2405,-1
311,2335,8280,-1
312,3737,19172,-1
313,925,2405,3
314,1795,7647,-1
315,14982,11924,-1
316,1375,2201,-1
317,3088,6114,-1
318,2713,3558,-1
319,25071,17645,-1
320,3696,2280,1
321,1897,5167,-1
322,713,3315,5
323,944,11593,-1
324,3587,2464,1
325,16784,13626,-1
326,1610,1431,-1
327,899,1664,-1
328,2209,3389,-1
329,1486,4583,-1
330,1786,5109,-1
331,14881,26839,-1
332,3216,1447,1
333,4980,67298,-1
334,928,2743,5
335,6817,10790,-1
336,1511,1330,-1
337,1347,2611,-1
338,333,7021,-1
339,1188,5332,-1
340,4025,9670,-1
341,5763,11238,-1
342,5758,5923,-1
343,6964,26316,-1
344,1172,1763,-1
345,2602,8335,-1
346,6939,15541,-1
347,7184,12311,-1
348,2380,2028,-1
349,14641,20521,-1
350,1099,1997,3
351,10044,22294,-1
352,1106,1533,4
353,6264,21203,-1
354,7393,2548,-1
355,727,2012,3
356,134,218,-1
357,1275,22272,-1
358,18664,1660,-1
359,5878,2109,-1
360,2872,2006,-1
361,607,864,-1
362,1601,2453,-1
363,997,4438,-1
364,873,1524,4
365,6128,8025,-1
366,2217,1664,-1
367,894,534,-1
368,1196,2406,-1
369,337,683,-1
370,3944,4955,0
371,1887,1939,2
372,3801,1641,1
373,6257,7398,-1
374,2256,1668,-1
375,1450,1162,-1
376,8630,13586,-1
377,3154,2648,-1
378,3294,1902,1
379,5164,10391,-1
380,944,2146,3
381,4591,1617,-1
382,7435,8469,-1
383,1364,3450,-1
384,21858,15400,-1
385,922,1614,4
386,3620,2857,-1
387,1916,1573,2
388,848,1172,4
389,1530,1422,-1
390,1181,1328,4
391,2761,2313,-1
392,4180,3600,-1
393,6730,3842,-1
394,865,3204,5
395,1316,1263,-1
396,11991,9345,-1
397,1666,1428,-1
398,1032,582,-1
399,577,935,-1
400,906,1238,4
401,2801,2128,-1
402,4753,5091,0
403,11006,4604,-1
404,4613,3444,-1
405,1046,1167,4
406,5010,5026,-1
407,12844,18683,-1
408,3880,6407,-1
409,3634,6100,-1
410,2096,4563,-1
411,3289,3281,-1
412,3605,12400,-1
413,4859,6633,-1
414,1990,3417,-1
415,6046,8552,-1
416,10940,10908,-1
417,5499,11055,-1
418,8494,18622,-1
419,3783,2223,1
420,5266,13227,-1
421,4847,9053,-1
422,1377,4172,-1
423,3686,4657,0
424,2884,12232,-1
425,2408,2593,-1
426,9347,14316,-1
427,16687,5429,-1
428,5970,4910,-1
429,1750,3580,-1
430,4230,16483,-1
431,5506,5160,-1
432,1162,4754,-1
433,3218,1493,1
434,3922,7994,-1
435,12051,16027,-1
436,1431,764,-1
437,15488,30243,-1
438,1981,2232,-1
439,1698,2510,-1
