,Milk,Grocery,label
0,9656,7561,0
1,9810,9568,0
2,8808,7684,0
3,1196,4221,0
4,5410,7198,0
5,8259,5126,0
6,3199,6975,0
7,4956,9426,0
8,3648,6192,0
9,11093,18881,0
10,5403,12974,0
11,1124,4523,0
12,12319,11757,0
13,6208,14982,0
14,9465,12091,0
15,1114,3821,0
16,8816,12121,0
17,6157,2933,0
18,6327,10099,0
19,2495,9464,0
20,4519,4602,0
21,871,2010,0
22,1917,4469,0
23,36423,22019,0
24,9776,13792,0
25,4230,7595,0
26,961,2861,0
27,803,3045,0
28,20484,25957,0
29,2100,2609,0
30,3610,11107,0
31,4339,3133,0
32,1318,2886,0
33,4786,7326,0
34,1979,2262,0
35,5491,11091,0
36,4362,5428,0
37,10556,12477,0
38,15729,16709,0
39,555,902,0
40,4332,4757,0
41,3065,5956,0
42,7555,14961,0
43,11095,23998,0
44,7027,10471,0
45,22044,21531,0
46,14069,21955,0
47,54259,55571,1
48,6152,10868,0
49,21412,28921,0
50,1095,1980,0
51,4051,6996,0
52,3916,5876,0
53,10473,11532,0
54,1449,1947,0
55,3683,5005,0
56,29892,26866,0
57,9933,10487,0
58,1970,1648,0
59,5360,8040,0
60,3045,7854,0
61,38369,59598,1
62,6245,6544,0
63,11601,15775,0
64,1227,3250,0
65,20959,45828,0
66,1534,7417,0
67,6759,13462,0
68,7260,3993,0
69,2820,1293,0
70,2037,3202,0
71,1266,21042,0
72,5139,2661,0
73,5332,8713,0
74,6343,9794,0
75,1137,3,0
76,3587,6532,0
77,12697,28540,0
78,1175,2067,0
79,3259,3655,0
80,829,3009,0
81,9540,14403,0
82,9232,11009,0
83,1563,1783,0
84,3327,4814,0
85,46197,92780,1
86,73498,32114,2
87,5025,8117,0
88,542,4042,0
89,3836,5330,0
90,596,1638,0
91,2762,2530,0
92,27472,32034,0
93,3090,2062,0
94,12220,11323,0
95,2920,6252,0
96,2616,8118,0
97,254,610,0
98,112,778,0
99,2182,1909,0
100,7779,12144,0
101,10810,16267,0
102,6459,7677,0
103,3504,8906,0
104,2132,3445,0
105,1014,3970,0
106,6337,10704,0
107,10646,14886,0
108,8397,6981,0
109,16729,28986,0
110,1648,1694,0
111,11114,17569,0
112,2770,2469,0
113,2295,1733,0
114,1080,2000,0
115,793,2988,0
116,2521,3355,0
117,3880,5380,0
118,1891,2362,0
119,2344,2147,0
120,1200,3412,0
121,3234,1498,0
122,201,245,0
123,10769,8814,0
124,1642,2961,0
125,3473,7102,0
126,1840,1658,0
127,7243,10685,0
128,8847,3823,0
129,926,1510,0
130,2428,699,0
131,589,314,0
132,2032,2479,0
133,1042,1235,0
134,1882,2174,0
135,1289,2591,0
136,8579,7030,0
137,8080,8282,0
138,4257,5034,0
139,4979,3343,0
140,4280,7305,0
141,13252,5189,0
142,7152,8253,0
143,1596,1096,0
144,3677,1988,0
145,8384,34792,0
146,1936,2177,0
147,3373,2707,0
148,584,542,0
149,1433,1651,0
150,1825,1765,0
151,3328,2022,0
152,1371,3135,0
153,9250,2368,0
154,55,137,0
155,10690,19460,0
156,5291,14855,0
157,1366,2474,0
158,6570,9618,0
159,7704,14682,0
160,3651,12822,0
161,540,283,0
162,2024,3810,0
163,15726,26870,0
